Country Name,Total Population Millions,Median Age,Life Expectation
Guiana Francesa,0.25278280000000003,23.40708,76.26675333333333
Guine Bissau,1.7474314666666666,17.364160000000002,58.13160666666667
Guine Equatorial,1.296105,20.127526666666665,59.37057333333333
Haiti,10.424984533333333,21.358886666666663,61.713453333333334
Honduras,9.119451999999999,20.967906666666668,71.68397333333333
Hong Kong,7.307206333333334,41.633073333333336,83.98443999999999
Hungria,9.8769868,40.441026666666666,75.23003333333332
Ilha de Man,0.08354713333333333,42.898633333333336,79.64020000000001
Ilhas Cayman,0.05938533333333333,35.26456666666666,75.06664666666667
Ilhas Marshall,0.049527666666666664,21.21472,63.894173333333335
Ilhas Virgens,0.06616816666666667,37.51430666666667,74.75981
India,1304.1954815333333,25.27026,68.49119999999999
Indonésia,255.48815086666667,27.71754,69.12316666666668
Iraque,36.14837946666667,18.53996666666667,68.41893333333334
Irlanda,4.664881733333333,34.92974,81.14939333333334
Irã,80.29466073333333,28.39484666666667,74.39732666666667
Itália,59.796088000000005,44.03758666666667,82.49311333333334
Jamaica,2.7741202666666664,27.396666666666665,72.19676666666668
Japão,127.07568213333334,45.64830666666667,83.62346000000001
Jordânia,8.693506266666667,21.3722,74.64386666666665
Letônia,2.0180562666666666,41.61468,73.91087333333333
Libéria,4.471465733333333,17.532986666666666,59.87000666666667
Luxemburgo,0.5578676666666667,38.176140000000004,81.30792666666666
Líbano,5.571723599999999,27.815626666666667,78.37896666666667
Malta,0.45588586666666664,39.093486666666664,82.22012666666666
Malásia,30.521710666666664,26.849453333333333,75.00575333333333
Mauritânia,3.8534452666666668,17.038913333333333,63.9833
Montenegro,0.6318079333333333,36.25625333333333,76.28189333333333
México,118.2555496,26.411060000000003,73.79799333333334
Namibia,2.2537811999999997,20.12834666666667,58.99914666666667
Nicaragua,6.215582666666666,22.216926666666666,72.49760666666666
Nigéria,179.82996173333333,16.775273333333335,51.698933333333336
Noruega,5.102411733333333,38.154113333333335,81.93218
Nova Caledônia,0.2740819333333333,30.606566666666666,78.98866666666666
Nova Zelândia,4.592046266666667,36.08694666666667,81.60627333333333
Panamá,3.8924453333333333,26.985633333333332,76.95804666666666
Paraguai,6.111061933333334,23.366966666666666,72.48202666666666
Países Baixos,16.951459733333333,40.66856666666667,81.27249333333333
Peru,30.717646666666667,26.207646666666665,74.54995333333333
Polônia,38.53350386666667,38.38208,76.85456666666667
Porto Rico,3.530052066666667,39.19282666666666,78.80598666666667
Portugal,10.4306564,42.24955333333333,80.71934666666667
Quênia,45.71211026666666,17.775286666666666,61.407853333333335
Reino Unido,64.57824466666666,38.83982,80.71526666666666
República Dominicana,10.271224866666667,25.048113333333333,72.57488666666667
República Eslovaca,5.419445,37.8129,76.23794
República Tcheca,10.489180533333332,40.1177,78.18454
Rússia,144.34607126666666,37.555946666666664,71.04285333333334
Senegal,14.065959533333334,17.248953333333336,66.09426666666667
Serra Leoa,7.152136799999999,17.679086666666667,56.3406
Suazilândia,1.1307,19.562720000000002,52.52881333333333
Suriname,0.5700258666666667,26.54348666666667,70.53353333333332
Suécia,9.774909466666665,39.67016666666667,82.03938666666666
Suíça,8.163084466666668,40.995340000000006,82.86636
São Tomé e Príncipe,0.19685466666666668,17.822086666666667,66.61655333333333
São Vicente e Granadinas,0.10723973333333332,30.008373333333335,73.88524000000001
Tailândia,69.66403453333332,36.1637,77.34193333333333
Taiwan,23.410313266666666,37.59884,79.66203999999999
Tanzânia,51.6262492,16.44168,63.11232
Togo,7.311664866666666,18.11021333333333,58.93034
Trinidade Tobago,1.4538349333333334,32.181866666666664,73.50434666666666
Tunísia,11.422559799999998,29.246873333333333,75.4389
Turquia,77.95381866666666,28.470186666666667,75.97881333333333
Tuvalu,0.010760066666666668,23.838133333333335,64.10061333333333
Uruguai,3.3877850666666665,33.77482,77.13874
Vanuatu,0.27146166666666666,19.283826666666666,69.71700000000001
Venezuela,29.22813173333333,25.94394,72.38386666666666
Vietnã,91.17105753333334,29.288706666666666,73.84844666666666
África do Sul,54.684666,24.9602,61.95406
Áustria,8.592985,41.56864666666667,81.09391333333333
